Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
Legend of Nine Tails Fox ,3.0,the plot was adapted from six tales from strange stories from a chinese studio feng san niang a xiu ying ning hu si xiang gong chang ting and heng niang,chinese,32,2016,drama , action , adventure , animals , fantasy , historical , ceng ning xinjin lingsupporting role, dangelo mikehu simain role, jiang jin fuliu zhang yanmain role, tang tinazhong qingsupporting role, chen ruo xuanzhang shengsupporting role, jiang kai tongfei yue supporting role
The Three Heroes and Five Gallants ,3.0,zhao zhan an expert swordsman saves the life of justice bao zhen during the northern song dynasty and is rewarded for his brave deed but ji pang an evil minister who is hungry for power uses zhans name to provoke a group of legendary swordsmen known as the five mice of xian kong island bai yu tang leads the five mice to the capital to locate zhan and seek revenge during their journey the five swordsmen hear about the evil doings of ji pang and his son and decide to go to chen zhou to deal with them first when justice bao is framed by his enemies and put in prison zhan is left to protect the song dynasty on his own zhan needs the help of the five mice to protect the court against their mutual enemies but how willing will yu tang be to help when the two men get entangled in a love triangle with ding yue hua a beautiful woman who wields a deadly sword better than any of her male contemporaries,chinese,42,2016,drama , historical , chinese ,drama ,drama ,drama ,zhang wei naji sai huasupporting role, liang guan huabao qing tiansupporting role, zhang zhi xijin ya lansupporting role, wang mao leijiang pingunknown role, zheng shuangding yue huamain role, chen xiaobai yu tangmain role
Far Away Love ,3.0,meng chu xia is a kindhearted and optimistic single 28yearold shengnu leftover woman who takes care of the son of her long lost sister shen an is a businessman who has returned to china from overseas to start a new company when shen an and chu xia meet they are both not expecting to find love shen an is engaged to be married and chu xia is struggling to raise her teenage nephew,chinese,36,2016,drama , romance , chinese ,drama ,drama ,drama ,zhang goldenli tai dimain role, wu leomeng xiangmain role, liu angelding feisupporting role, yang jin chenger pengsupporting role, qu jing jinghe ruo nansupporting role, park hae jinshen anmain role
The Ladder of Love ,3.0,being a wealthy heir is not always without hardships zhang hao tian ray cheung is the heir of a large corporation who faces conspiracies all around him from those who want to bring him down although his heart belongs to the sweet chen qiu yan zhang meng hao tian is entrapped into marrying song zi han dilraba dilmurat while luo shan hao ze jia is helpless to stop it meanwhile hao tians college friends lu feng zhou ting wei and chu yao hui gao vengo each face their own challenges as they try to pursue their own happiness in life,chinese,69,2016,drama , melodrama , romance , chinese ,drama ,drama , main role, zhang wei nazhang le meisupporting role, hu cai honghe minsupporting role, cheung rayzhang hao tianmain role, dilmurat dilrabasong zi hansupporting role, huang tian qidong dongsupporting role
The Classic of Mountains and Seas ,3.0,based on a classical text the drama tells the tale of a royal who is abandoned at the young age of ten because of a prophecy that said he would kill his father as he grows up he must deal with two parts of him that fight between good and evil,chinese,42,2016,drama , adventure , fantasy , chinese ,drama ,drama , tang wanliu ruo shuangsupporting role, lan lyricfu ermain role, zhao shu tingsu mo supporting role, gao vengobin yisupporting role, yin andrewsu shuisupporting role, bextiyar gülnezersu momain role
First Love ,2.5,zuo zai jun and zheng lei were university classmates and best friends who have an 8yearold stepdaughter called miao miao while miao miaos mother ning xiao meng was zai jun and zheng leis dream date during their university days 8 years ago she left to study in america and was never heard from again 8 years on xiao meng returns to shanghai zai jun cannot accept her and so she attempts to mend their relationship when she succeeds xiao meng becomes very close to zheng lei ruining the friendship between the men as they become love rivals creating comedic situations little by little xiao mengs secret about miao miaos birth and her disappearance is unraveled,chinese,40,2016,drama , comedy , drama , family , friendship , life ,lau hawickzu zai junmain role, bextiyar gülnezerning xiao mengmain role, li cheng yuansupporting role, xie luciamiao miaosupporting role, sun seanzheng leimain role, zhu yong tengtao ransupporting role
Yes! Mr. Fashion ,3.0,in order to find out the truth about his mothers death the heir of feng shang group shang bo ran joins a fashion magazine publisher while hiding his identity there he meets his rival at work the naive and optimistic lu xiao kui due to a strange combination of circumstances the two bickerig colleagues end up living together and gradually fall in love with each other,chinese,28,2016,drama , romance , youth , chinese ,drama ,drama ,ou yang na nali xiao kuimain role, wu vivianleng shansupporting role, ren yan kaigao mingsupporting role, yang zhi yingbabi role, chen cheneyshang bo ranmain role, li guang jieunknown role
Decoded ,3.0,a math genius gets recruited by chinese spy agency to crack a complex coded message in the early republican era,chinese,41,2016,drama , comedy , drama , historical , military , political , main role, bai qing linlei tingsupporting role, an adyshen yu ermain role, yu hengmeng xiao yununknown role, ying erzhai limain role, zhang zhe hanhan bingmain role
Finding Soul ,3.5,the story is about a mystery involving three students and an artifical intelligence ai on the school campus that they are in in order to find the secret of the ai they go through various trials and tests  such as finding hidden clues on campus however due to the fact that each student have a different motive for searching  the journey not only tests their knowledge and skills but also their friendships family bonds and differences in interests of what is right and wrong,chinese,25,2016,drama , friendship , school , sci-fi , suspense , youth ,wang roysui yu  002main role, wang karryxia chang an  001main role, yi jacksonchen hao xuanmain role,wang roysui yu  002main role,wang roysui yu  002main role,wang roysui yu  002main role
The World ,3.0,what would happen if an ordinary teenager suddenly develops extraordinary powers wang yi fei is your average teenager but one day he develops the extraordinary ability to conjure demons angels and other historical heroes to presentday earth using a special space stone a mystical girl named tang xiao pan enters yi feis life and makes him realize that his normal life will never be the same when yi fei realizes that the space stone left by his father can conjure another mysterious girl zhang fei from a different world can the mysterious girl help yi fei harness his new powers to find out the truth behind his dead father,chinese,10,2016,drama , action , drama , fantasy , suspense , chinese ,,,,,,
