Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
Amazing Saturday ,3.5,the poster shows shin dong yup girls days hyeri park na rae moon se yoon shinees key rapper hanhae and mma fighter kim dong hyun going for an indiana jones concept the seven stars were previously announced to be the cast members but the newly released poster shows boom peeking out as well with his name included at the bottom it appears he has also joined the cast,korean,100,2018,drama , comedy , drama , food , music , korean ,shin dong yup, key, park na rae, hyeri,shin dong yup,shin dong yup
I Can See Your Voice Season 9 ,3.0,i can see your voice is a mystery music game show the guest artists must attempt to guess between six contestants who are good singers skilled vocalists and bad singers tonedeaf vocalists without hearing them sing if the winner is a good singer they will win a chance to release the song alongside the guest artists as a digital single if the winner is a bad singer they receive 5000000 $4500,korean,10,2022,drama , kshow , music , mystery , korean ,drama , ha sung woon, , lee teuk, yoo se yoon, lee hyun yi, kim seung hyun
Omniscient Interfering View ,3.0,the managers who know more about the stars they are working for have unsealed their lips in the program the shows hosts receive detailed descriptions of celebrities lifestyles and interfere with their lives learn about your favorite celebs habits and quirks while learning about how everyones different and stereotypes can be dangerous,korean,200,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Mr. House Husband ,3.0,dear valued customer 1 dramacool regularly updates new technology if there any errors appear please reload the page first if errors reappear then report to us 2 main player supported chromecast  airplay you can use it to streaming on your tv 3 our website strictly does not use pop up direct site ads or any ads that would annoy your view please report us immediately when you see these ads thank you for your support and cooperation,korean,200,2016,drama , drama , family , food , kshow , korean ,kim eli, lee chul min, son tae young, kim jung tae, kim seung woo, bong tae gyu
The Game Caterers Season 2 ,4.0,a business trip program with pd na young seok he will visit official events and entertainment programs that require various games ,korean,12,2022,drama , business , kshow , korean ,drama ,drama , im ji yeon, lee seo jin, jung hyung suk, lee jung jae, jung woo sung, oh se hun
MMTG ,0.0,interviewer and producer lee eunjae of variety show mmtg a program that kicked off on sbs youtube platform in february 2018 the program which features interviews with stars in different fields has a separate youtube channel ,korean,250,2018,drama , comedy , drama , music , korean ,drama , yoon jong hoon, aiki, kim so yeon, yoo ah, kevin woo, yoon chae kyung
How Do You Play? ,3.0,one of the best mcs in the country yu jae seok often asks about how others play on their dayoffs it has gotten to the point that he says this out of habit his saying sparks an idea in kim tae hos head he gets the thought of filming celebrities on their dayoffs on a relay camera so tae ho hands a small and portable camera to jae seok out of the blue at first jae seok is taken aback but goes along with the idea starting with jae seok celebrities get handed a camera to film their everyday lifestyle some may work out to get in shape some may simply rest up from their tiring schedule and others may meet up with friends they didnt have the time to from wellknown comedians to global superstars the relay camera captures unexpected and uniques stories take a peek at what the celebrities are up to on their dayoffs and discover something new about them source rakuten viki add synopsis in portuguese,korean,100,2019,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
Fun Restaurant ,3.0,fun restaurant is a new variety show where celebrities are competing to make a new fb product for the convenience store franchise the program looks at the celebs daily lives that are filled with constant development on some exciting and delicious menus celebs compete every week and the winners cuisine turns to the product that will sell the stores the next day the profits will be donated to support children the casts are led by lee kyungkyu who has had his own development into an actual product and lee youngja the mukbang genius and food aficionado,korean,100,2019,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
I Live Alone ,3.0,with the number of singleperson households ever increasing 13 of korean celebrities are living alone too there are fathers living alone with their family studying abroad married couples who see each other only in the weekends young men from the rural parts of korea who are still adjusting to city life in seoul and men who just prefers to live by themselves i live alone is a documentarytype reality tv show that looks at each of their single life whether you live alone or not youll definitely find something you can relate to in these celebrities,korean,500,2013,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Ask Us Anything ,3.5,the brother 아는 님 认 is a korean reality show variety show invited artists to answer the question of life size very important but people will be curious about the theme tv superman to share your know brother online live  complete set of replay jtbc tv korea internet tv channel live ask us anything live lazy package,korean,300,2016,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
A Gentleman and a Young Lady ,4.5,lee young kook is a widower with three children he still hasnt gotten over the death of his wife he decides to hire park dan dan as a livein tutor for his kids and he becomes attracted to her meanwhile park dan dan has bright and positive personality despite her harsh situation,korean,50,2021,drama , comedy , drama , family , romance , korean , support role, shin chang seokunknown role, im ye jinsupport role, lee il hwasupport role, kim sa kyungunknown role, park ha nasupport role
King of Mask Singer ,3.0,when you have to compete with only your voice who will be the last singer standing king of mask singer is a south korean variety show where the participants compete against each other wearing masks to hide their true identities the contestants may be famous singers or stars who have always aspired to sing  but they all have one thing in common they must all compete with their vocals alone because no one will know their true identities until the very end enjoy these highlight clips from the popular variety show featuring mcs kim sung joo and kim goo ra,korean,300,2017,drama , game-show , kshow , music , korean ,drama ,,,,,,
Running Man ,4.0,running man kshowonline engsub see your favorite stars battle it out and and show their true colors as they fight their way to the finish line every week running man tests the strength endurance and cunning of koreas top entertainers through various missions and races,korean,500,2019,drama , game-show , kshow , korean ,drama ,drama , kim ji won, lee dong wook, lee kyung kyu, park seo joon, wang ji hye, seo jang hoon
We Became a Family ,0.0,a reality program that features the stars becoming virtual family members ,korean,8,2021,drama , comedy , family , friendship , kshow , korean , kim kang hoon, lee dae hwi, yang yang, xiao jun, jo kwon, na ha eun
Forecasting Love and Weather ,3.5,a romance drama about the work and love in the office of national weather service hotter than tropical nights and more unpredictable than localized heavy rains jin ha kyung is an intelligent and highly organized individual who does everything by the book and is fastidious about keeping her personal and professional lives separate due to her cold demeanor she has few friends at work and has become an outsider by choice lee shi woo is a free spirit who is always thinking outside the box although he can appear clumsy he boasts an impressive iq of 150 and is able to achieve anything once he sets his mind to it however in spite of his intelligence and abilities all he cares about is the weather han ki joon is a handsome and quickwitted character with a silver tongue using his formidable powers of persuasion han ki joon eventually gets scouted by the spokespersons office after struggling in the early days of his career at the service however because he has lived his entire life as a model student he has a hard time dealing with failure chae yoo jin is a daily weather reporter although she went into her job with lofty dreams of breaking news exciting scoops and onsite reports chae yoo jin was ultimately assigned to the weather and lifestyle team while she was initially disappointed by the assignment she eventually comes to grow fond of her job ,korean,16,2022,drama , drama , melodrama , romance , korean ,drama , yoo ji inunknown, yuramain role, cha young hoonunknown role, jung woon sunsupport role, support role, yoon parkmain role
Through the Darkness ,4.5,a story of criminal profilers who struggle to read the minds of serial murderers song ha young is a criminal profiler he is calm and has charisma he digs up cases and looks deeply into the human mind,korean,12,2022,drama , crime , drama , mystery , thriller , korean ,jin sun gyumain role, jung soon wonsupport role, kim won haesupport role, ryeounsupport role, kim min kyusupport role, kim so jinmain role
Twenty-Five Twenty-One ,4.0,the story is set in 1998 and tells the stories of youth who find new direction and growth after having their dreams taken away two people first meet when they are 22 and 18 years old and fall in love years later when they turn 25 and 21 na hee do is a member of her high school fencing team due to the south korean financial crisis the high school fencing team gets disbanded getting through all the difficulties she becomes a member of the sabre fencing national team the south korean financial crisis also causes baek yi jins fathers business to go bankrupt this leads to a life change for baek yi jin from living the life of a wealthy person to a poor person while studying he works parttime jobs like delivery newspapers later he becomes a sports reporter for a broadcasting network ,korean,16,2022,drama , drama , friendship , romance , youth , korean , bonasupport role, support role, nam joo hyukmain role, park jung pyosupport role, choi min youngsupport role, kim hye eunsupport role
Dr. Park’s Clinic ,4.5,dr park won jang recently opened his own internal medicine clinic his goal is to become acknowledged as a skilled physician and make a lot of money in the process he thought that if he opened his own clinic the money would soon roll in reality is a little different for park won jang his clinic receives very few patients and it is teetering on insolvency he struggles to save his clinic making things worse he also suffers from hair loss meanwhile park won jang is married to sa mo rim his wife trusts the advice of medical tv programs more than her husband ,korean,12,2022,drama , comedy , drama , medical , korean ,drama ,,,,,,
"The King of Tears, Lee Bang Won ",4.5,a work that sheds new light on the figure of lee bang won a leader who took the lead in the founding of the nation ,korean,32,2021,drama , drama , historical , korean ,drama ,drama , support role, kim myung soosupport role, park hyung joonsupport role, joo sang wookmain role, park jin heemain role, hong kyung insupport role
Going Seventeen  ,3.0,the third season of going seventeen this seasons keyword is watch what you say where anything the members say can and will be turned into content,korean,30,2021,drama , comedy , friendship , kshow , korean ,drama , wonwoo, , vernon, boo seung kwan, yoon jung han, joshua hong
Stray Kids : SKZ-TALKER GO! Season 2 ,3.0,skz talker is stray kids filming their time while they are on their second world tour in the different locations ,korean,2,2020,drama , friendship , kshow , korean ,drama ,drama ,i.n, seo chang bin, bang chan, lee know, felix, han
Learn Way 2 ,2.5,learn way 2 a new season of learn way focusing on lovelyzs member mijoo,korean,20,2021,drama , comedy , kshow , korean ,drama ,drama ,han hyun min, lee mi joo,han hyun min,han hyun min,han hyun min,han hyun min
Kep1er Zone ,0.0,kep1ers first travel reality show ,korean,10,2022,drama , adventure , friendship , kshow , life , korean ,choi yoo jin, kim da yeon, sakamoto mashiro, seo young eun, shen xiao ting, ezaki hikaru
YUGYEOM - [Point Of View: U] ,0.0,yugyeom  point of view u,korean,20,2021,drama , documentary , kshow , music , korean ,drama ,kim yoo gyum, bhuwakul kunpimook, hoody, punchnello, devita, gray
Woof & Meow – Do you Love Me? ,2.5,when it comes to love ha joon is about the farthest thing from an expert that you can get with almost no dating experience the closest ha joon has ever gotten to having a longterm relationship is the one he has with his dog meongoo now in his twenties ha joon is starting to feel that raising a dog is great but it would be nice to have an actual human by his side terrified of going through his entire twenties without a proper relationship ha joon agrees to visit a dating consultation company with some of his college friends while there ha joon finds himself crossing paths with do hee a pretty young lady who looks exactly like his first love incredibly unlucky when it comes to love do hees only true companion is her cat anna even so do hee refuses to give up on love bonding over their mutual affection for their pets ha joon and do hee find themselves drawing even closer but is that one connection enough to spark loves eternal flame ,korean,3,2022,drama , drama , romance , korean ,drama ,drama ,yoon chae kyungmain role, cha hunmain role, ryanmain role,yoon chae kyungmain role,yoon chae kyungmain role,yoon chae kyungmain role
Show!terview with Jessi ,4.0,a new style of talk show hosted by jessi ,korean,30,2020,drama , comedy , kshow , life , music , korean , , kim jong min, jessi, yoo jae pil, kim young chul, lee geun
Astro Hostel ,2.0,gmarket global shop a platform for direct purchase announced on the 4th that it had released the web entertainment contents of the kpop idol group astro on the official youtube channel insaoppa on the 2nd there will be a total of 8 episodes starting with the trailer on the 2nd and the first episode will be released on the 9th it is uploaded sequentially every wednesday at 6 pm in this content astro members jinjin moonbin and yoon sanha run a pension with the concept of a roaring gaksi and introduced the classic items for each category sold in the gmarket global shop,korean,8,2022,drama , friendship , kshow , life , music , korean ,moon bin, yoon san ha, jin jin,moon bin,moon bin,moon bin
Ateez Wanted Special ,0.0,ateez members will go on a 2 day 1 night trip around daegu by completing the missions that will be given while enjoying the beauty of daegu,korean,8,2022,drama , adventure , comedy , drama , friendship , korean ,kim hong joong, song min ki, park seong hwa, kang yeo sang, choi jong ho, jung woo young
"Work Later, Hike Now ",4.5,work later hike now,korean,4,2022,drama , comedy , friendship , kshow , korean ,drama ,aiki, han sun hwa, jung eun ji, choi shi won, kim ji suk, lee seon bin
The All-Round Wife ,3.0,a drama centered around the district of gangnam and seo cho hee a woman who struggles to improve the quality of life with a house it has a realistic family message that happiness is not about the house but about the family that lives in it,korean,120,2021,drama , drama , family , melodrama , korean ,drama , kim ji wan, support role, kim ga ransupport role, oh soo minsupport role, choi ji yeongunknown role, han sang jinmain role
Problem Child in House ,3.0,five celebrities who are not that knowledgeable face the challenge of having to solve 10 problems in order to escape the rooftop,korean,100,2018,drama , comedy , family , fantasy , game-show , kshow ,,,,,,
Welcome First Time in Korea: Season 2 ,2.5,a new type of reality korean vacation show exploring both the fun and cultural differences of foreigners who are in korea for the first time through their korean vacation travel log ,korean,200,2018,drama , comedy , food , game-show , kshow , korean ,kim jun hyun,kim jun hyun,kim jun hyun,kim jun hyun,kim jun hyun,kim jun hyun
Kissable Lips ,3.0,a sweet and bloody campus romance between jun ho a vampire who is walking the path of extinction and a human with pure blood min hyun jun ho is a vampire who is about to die to survive he will need to drink pure blood and thus become a human one day while searching for this pureblood he meets min hyun a human with pure blood but another vampire named hae soo who knows about jun hos past traumas causes min hyun and jun ho to fall out living a normal life as a human and protecting min hyun what will junho have to face ,korean,8,2022,drama , drama , romance , school , supernatural , youth ,moon ji hoomain role, kim ji woongmain role, seong do joonunknown role, yoon seo binmain role,moon ji hoomain role,moon ji hoomain role
Hometown Report ,3.5,hometown report is a longstanding report which first aired on may 20 1991 as a leading public interest program of the public broadcaster kbs hometown is a refuge for city dwellers and a source of pride for those who live in the countryside it is a bridge to experiencing diverse culture the program also instills the importance of community life and provides farming and distribution information to help boost farmers income,korean,8000,2018,drama , comedy , fantasy , game-show , kshow , vampire ,,,,,,
Morning Forum ,3.0,all about family and personal issues,korean,9000,2019,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
Thirty-Nine ,4.5,leaning on each other through thick and thin a trio of best friends stand together as they experience life love and loss on the brink of turning 40 cha mi jo is the head dermatologist of a clinic in gangnam she is a warm character who grew up in a wealthy environment with a caring family and everything she could wish for jung chan young dreamed of becoming an actress but ended up becoming an acting teacher instead although her way of speaking may seem blunt and harsh the sincerity in her words makes her a character impossible to hate jang joo hee is a department store cosmetics manager due to her timid personality she has yet to really experience a romantic relationship ,korean,12,2022,drama , drama , friendship , life , romance , korean , support role, seo hyun chulsupport role, song min jisupport role, shin so hyunsupport role, sandysupport role, oh se youngsupport role
Semantic Error ,3.0,computer science major chu sang woo is the epitome of an inflexible and strict ruleabiding person while working on a liberal arts group project with freeloaders who dont put in any effort sang woo reasonably decides to remove their names from the final presentation but he didnt imagine how involved he would become with the person whose studyabroad plans were messed up because of that project the involved person the campus star who everyone knows department of designs jang jae young he has everything from skills looks family background and good relationships except for 1 big problem chu sang woo what happens when an engineer and an artist whose personalities are like oil and water have to work together jang jae young is like a semantic error in the perfect world of chu sang woo will sang woo be able to debug this español 한국어,korean,8,2021,drama , drama , romance , school , korean ,drama ,,,,,,
Weekly idol ,3.0,weekly idol kshow eng sub enjoy candid moments with your favorite music idols like you have never seen them before weekly idol is a south korean variety show that originally began airing on july 23 2011 and features one or more music guests each week regular segments on the show include real chart idol selfranking where idols are asked to rank each other on different topics and idol of the week where the invited idol guests are often asked to dance on the spot to a mashup of their choreographed dance routines verify information in their profiles or in rumors or compete against the hosts in a game the first group to appear as the shows idol of the week was infinite which continues to be a popular guest of the show other popular guests have included btob secret a pink 4minute and bap weekly idol is hosted by comedian jeong hyeong don and rapper defconn,korean,500,2016,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Foreigner ,3.0,a quiz show for foreigners who know and love korea even more than koreans do watch them compete with five korean celebrities in a quiz about korean culture,korean,100,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Godfather  ,2.5,new family relations certificate godfather,korean,10,2021,drama , kshow , korean ,drama ,drama ,drama ,lee soon jae, kim gab soo, joo hyun,lee soon jae,lee soon jae,lee soon jae
Grid ,3.0,in 1997 a mysterious ghost saved humankind and then disappeared it reappears again 24 years later and helps a serial killer escape kim sae ha jung sae byeok and song eo jin pursue the ghost for different reasons ,korean,10,2022,drama , action , drama , mystery , sci-fi , thriller , support role, kim mu yeolmain role, park jun hyuk role, kim ah joongmain role, jang so yeonsupport role, lee soo yeonunknown role
Rookie Cops ,3.5,about an honors freshman wi seung hyun starting out at the korean national police university he admires his father who is the commissioner of the gyeonggi dongbu police agency he sets out on following in his fathers footsteps but runs into hurdles as he gets involved with a woman named go eun gang the story will revolve around young adults born in the 2000s making their way through college life in their own unapologetic ways at one of the most conservative universities in korea the youth of korea and how they grow alongside their dreams love and difficulties at a police university the struggles to stand out within a 2000 student campus one of the most conservative and exclusive campuses in the nation will be told through the drama,korean,16,2022,drama , drama , life , romance , youth , korean ,,,,,,
Charles the Next Door Neighbor ,3.0,foreigners in a strange land their survival story a reality show with three foreigners living in korea challenging themselves to unique missions and learning more about korean society and culture,korean,300,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Love Naggers 3 ,3.5,love naggers are back with season 3 an impregnable data of breakups is established through season 1 and 2 after the panels have nagged strongly on love stories that are unbelievable than a soap opera more and more of troubled men and women are being released from their bitter relationships it will diagnose their relationship more strongly and with more determination diagnosing breakups to people in bloody fights who are fooled to think that its a romance continues romance destroying talk show love naggers season 3,korean,40,2020,drama , kshow , korean ,drama ,drama ,drama ,joo woo jae, han hye jin, seo jang hoon, kim sook,joo woo jae,joo woo jae
Sing Again 2 ,3.0,sing again comes back with a new season singers who want a chance to be rediscovered give everything they got to the viewers just like the last one the contestants cannot reveal their name only be called by their numbers the stakes are higher and the pressure is on who will be the winner of this season lee seungki returns as a host as well as the eight judges with diverse musical tastes and experience in the show business,korean,12,2021,drama , kshow , music , korean ,drama ,drama ,lee sun hee, yoo hee yeol, kim eana, song min ho, sunmi, lee seung gi
No Bother Me ,3.0,a story about unrefined savage that any 20yearold college student would have crossed paths with ,korean,35,2021,drama , drama , youth , korean ,drama ,drama ,seo ye rimain role, moon seo yoolmain role, kim min jungmain role, lee jong hyukmain role, jang moon jungmain role, oh jung woomain role
Ghost Doctor ,4.5,cha young min rain is a genius doctor but he is arrogant and selfish one day he gets involved in an unexpected case due to the unexpected case his spirit possesses another doctors body these two doctors are complete opposites with opposite personalities and medical abilities,korean,16,2022,drama , drama , fantasy , medical , supernatural , korean , son seung taek role, sung dong ilsupport role, son na eunsupport role, rainmain role, support role, seo ji youngsupport role
To Do X TXT ,4.0,the firstever original variety show featuring tomorrow x together and their bubbly personalities off the stage  translation english polski bahasa indonesia,korean,20,2020,drama , comedy , friendship , kshow , korean ,drama ,choi beom gyu, kang tae hyun, choi yeon jun, huening kai, choi soo bin,choi beom gyu
2 Kids Room ,1.5,2 kids room,korean,28,2022,drama , comedy , documentary , drama , friendship , music ,i.n, seo chang bin, bang chan, lee know, felix, han
300 Year-Old Class of  ,3.5,the series is a fantasy comic web drama that tells a story of three students who were studying in seowon during the joseon period accidently time travel and arrive at presentday seowon in 2020 ,korean,6,2020,drama , comedy , drama , fantasy , historical , korean ,steven nohmain role, choi ji sumain role, lee se jinmain role, kang julien role, hwang da seulunknown role, kong jae hyunmain role
All Table Tennis! ,2.5,all table tennis is koreas first fullfledged table tennis entertainment show in which hidden table tennis masters in the entertainment industry are reborn as the strongest table tennis team through special training and challenge ,korean,10,2022,drama , kshow , sports , korean ,drama ,drama ,kang ho dong, , joo woo jae, , eun ji won, don mills
Girls High School Mystery Class 2 ,3.0,a mystery adventure series that features the mystery teams task to uncover suspicious events and secrets in a girls high school ,korean,8,2021,drama , adventure , comedy , kshow , mystery , thriller ,jang do yeon, choi ye na, park ji yoon, jae jae, bibi, jung jong yeonunknown role
Golden Oldies ,3.5,meet the veteran singers and performers walk down the nostalgic memory lane with traditional korean songs first produced in 1985 the program aired its 1000th show in 2006 golden oldies presents old korean pop songs from 1950s to 1970s for the middle aged to advanced aged people golden oldies is not just a simple music show it is the cultural program that cures their sorrows and holds the memories of the old days,korean,2000,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Live info Show 2 ,3.0,fun and informative a whole new live info show interesting information about landscape photography and the photographed places easy recipes and various occupations is introduced,korean,2000,2018,drama , comedy , game-show , kshow , korean ,drama ,,,,,,
On My Way To Meet You ,3.0,a talk show with a panel of women from north korea who are now south korean citizens,korean,600,2011,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Super DNA - Blood Can't Cheat ,1.0,a variety of blood sweat and tears that realistically shows the lovehate relationship between parents with super dna and their children who dream of becoming sports stars ,korean,8,2022,drama , family , kshow , sports , korean ,drama ,kang ho dong, kim byung hyun, lee hyung taek, kim min kyung, lee dong gook, nam hyun hee
Housekeeping Men Season 2 ,3.0,in the second season of housekeeping men actor baek ilseob singer jung wonkwan and eli who cook and clean for themselves get together and share their housekeeping knowhows with each other,korean,200,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Let's Play Soccer 2 ,3.5,lets play soccer 2,korean,50,2021,drama , kshow , sports , korean ,drama ,drama ,kim yo han, jung hyung don, ahn jung hwan, park tae hwan, lee hyung taek, kim dong hyun
Senior Talk Show Golden Pond ,3.0,korean seniors share their life stories and wisdom from their experience with younger generations,korean,300,2015,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Turning Point ,3.0,there were moments of misfortune in the lives of the celebrities behind their extravagant lives a talk show about life happiness and health presenting empathy through the events that have become the turning point of their lives,korean,40,2020,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
2 Days & 1 Night: Season 4 ,3.5,the cast members take various trips throughout south korea including many offshore islands recommending various places that viewers can visit while doing so members also perform missions at a certain mealtime or point of the day to earn rewards,korean,20,2019,drama , comedy , kshow , korean ,drama ,drama ,,,,,,
User Not Found ,3.5,a romance drama about two female high school students who happen to share the same name when they both transfer to a new school at the same time hoping to use the opportunity to turn their lives around they forge a secret contract to swap identities shin yi joon is the most popular student at his high school although he seems tough and aloof on the outside shin yi joon is actually a huge softie on the insideand far from getting into fights with other students he even has a hard time saying no to other people ,korean,10,2021,drama , drama , friendship , romance , korean ,drama ,ahn se minsupport role, lee seung gyusupport role, bae jin youngmain role, shin so hyunmain role, han ye jimain role,ahn se minsupport role
The One and Only ,3.5,only one person is a human melodrama in which three terminally ill women who met at a hospice become entangled in an unexpected murder case and begin a miraculous journey of facing their precious one person after fighting to take down the only bad one person before they die pyo in sook is a stubborn and insensitive woman who even after being diagnosed with a terminal illness doesnt know what kind of feelings to feel on the other hand min woo cheon is a mysterious hitman hidden under a veil although he is a natural killer with superior physical condition sharp instincts and clever mind he struggles with deep emotional scars and profound sense of emptiness from having lived a crooked life that he didnt want to lead after the two meet they wind up becoming the most important person in each others life in their lives two more women show up equally carrying a heavy toll on their shoulders one such woman is the housewife kang se yeon who has led a pretty normal life without being noticed by anyone she realises the rift between ordinary and stability that she believed and relied on so much only after being sentenced to death while the other woman seong mi do who is a famous sns influencer also doesnt have much time left to live with death close ahead of her successful life she experiences various complex emotions ,korean,16,2022,drama , drama , melodrama , romance , korean ,drama , kim kyung nammain role, support role, kim soo hyungsupport role, han kyu wonsupport role, han gyu wonsupport role, ahn chang hwansupport role
Mama the Idol ,2.5,a program that contains the retrying of idols of legendary stars who left us due to childbirth and childcare ,korean,10,2021,drama , kshow , korean ,drama ,drama ,drama ,chi hoon, , lee jae yun, choi ji eun, choi ji su, song dong geon
To.Two ,3.5,totwo is an extremely popular social media app with a catch you can only get in based on invite this web drama explores how this app creates social barriers between the students based on who can access the invite ,korean,8,2021,drama , crime , drama , psychological , school , thriller ,jo seung heesupport role, seo jung hunsupport role, cha yoo jinmain role, lee so heemain role,jo seung heesupport role,jo seung heesupport role
First Love Again  ,3.5,the popular web novelist yeon seok has one big secret he has been living for 300 years in order to achieve his first love he is searching for his first love ha yeon who suddenly appears in front of him as a 25yearold man yeon seok who never thought his first love would be reborn as a man pushes ha yeon away at first however because ha yeon is yeon seoks editor at sin bi books yeon seok cant escape ha yeon and they naturally grow closer over time ,korean,6,2022,drama , drama , romance , korean ,drama ,drama ,jin gunmain role, christine jungsupport role, song han heesupport role, jeon chang hamain role, kim jeong seoksupport role,jin gunmain role
Radio Star ,3.0,on this hilarious talk show four djs ask their celebrity guests those sensitive questions that everyone wants to know the answer to,korean,1000,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Artificial City ,4.0,takes place against the backdrop of an art museum that belongs to sung jin group a major conglomerate that holds the reins of the political and financial worlds in south korea it is a psychological mystery thriller about the things that disappear when humans become greedy and ambitious for power yoon jae hee is the head of the sung jin cultural foundation and in charge of operations at space jin the art museum owned by sung jin group she is also the second daughterinlaw of the family that controls sung jin group believing that poverty is corrosive to love and that a stable income leads to a steady life she chose to throw away her longtime lover and entered into a marriage of convenience with jung joon hyuk an illegitimate son of sung jin group in order to make her husband the nations president she teams up with the future public prosecutor general and goes to war against sung jin group jung joon hyuk is yoon jae hees husband although he is a popular anchorman with his own fan club he hides an inferiority complex over being labeled the illegitimate son of sung jin group for his whole life he laughs at both ambitious people and those who pretend to have no ambition even as he waits for the day when he can seize the reins of power ,korean,20,2021,drama , drama , mystery , psychological , thriller , korean , jung hee taesupport role, seo woo jin role, kim ji hyunsupport role, lee choong joosupport role, support role, soo aemain role
DKB Art School ,0.0,this show provided by the entertainment youtube channel 스타플러스 starplus is dkbs idol debut survival on this show dkbs members are back as art school students ,korean,6,2021,drama , comedy , friendship , kshow , youth , korean ,,,,,,
Take Off Your Shoes ,3.0,four dolsing returningsingledivorced men looking for happiness in life invite guests to their homes,korean,12,2021,drama , kshow , korean ,drama ,drama ,drama , , , kim yong rim, kim young ok, choi soo jong, kim jun ho
The Player ,3.5,a police redemption team consisting of a swindler a fighter an elite hacker and a talented driver is asked to take back property hidden away by criminals the driver cha ah ryung grew up on the streets after being abandoned by her parents ,korean,14,2018,drama , action , crime , korean ,drama ,drama ,ahn se hosupport role, kim won haejang in gyoosupport role, krystalcha ah ryungmain role, lee shi eonim byung minmain role, hong seok cheon role, tae won seokdo jin woongsupport role
Moonshine ,4.0,set in the joseon era during a period marked by the strictest prohibition laws illustrating that prohibition is no match for human desire prohibition creates different challenges for these inhabitants inspector nam young from the office of the inspectorgeneral who left his hometown to achieve fame in hanyang and restore his family status kang ro seo the aristocratic but impoverished woman who makes moonshine to reduce her debt from buying her mothers medication and her brothers books crown prince lee pyo prone to scaling the palace walls in search of a tipple this trio has a fateful encounter leading them to discover a hidden stash of alcohol revealing this secret could mean certain death ,korean,16,2022,drama , comedy , drama , historical , romance , korean , support role, byeon seo yoonsupport role, kang mi namain role, bae yoo ramsupport role, lee ki taeksupport role, byeon woo seokkmain role
Mom’s Diary – My Ugly Duckling ,3.0,celebrities moms observe their sons and record precious moments in moms diary,korean,200,2016,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Where is My Home ,3.0,celebrities are here to find your home sweet home the show features two teams of celebs competing to help their clients find the new houses for them as real estate coordinators celebs visit realtors and discover houses that fit the needs of the clients they arent afraid of cold weather continuous allies to go through nor stiff steps to climb in the end clients grades how much they are happy with celebs proposals which team will get the clients pleased,korean,100,2019,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
Nowadays Parenting My Dear Child ,2.5,nowadays parenting my dear child is a show that provides parentingchild caring consults to families the clients  usually parents who have problems with child care  asks to help them how to care for children properly then a group of celebrities who have experiences in child care as well as child care and parenting experts will offer solutions and helps training the show also provides knowledge and trendy information on how to raise the children ultimately the program aims to make changes in families relatives friends and everyone in society for providing better care for children,korean,50,2020,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
Dogs are Incredible ,3.5,magnificent dogs follows two celebrities lee kyungkyu and lee yoobi as they learn and train to be dog trainers kyungkyu is famous for raising several pets for years while yoobi has never taken care of pets the two are trained by kang hyungwook koreas best dog trainer they are very eager but realize slowly that adoring pets and training pets are very different can they succeed in becoming a competent dog trainer the show covers the two celebs daily lives and training while exploring the best way for people and pets to live in harmony,korean,20,2019,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
"Same Bed, Different Dreams Season 2 ",3.0,when something happens between a couple its surprising how each persons interpretation and memory of it differs from the others by watching the daily life of a celebrity couple that faces challenges and conflict as we all do the program offers a perspective from both male and female while asking viewers to reflect on the value of finding a soulmate and sharing their lives with another person,korean,200,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
The Return Of Superman ,3.0,fathers may not be perfect but thats alright if they arent perfect theres nothing like a fathers love to boost our spirits the dads who used to spend all their time working have returned home on the return of superman,korean,500,2019,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Master In The House ,3.5,what if young adults who feel confused and lost get personal life coaches successful people always have their unique lifestyles that distinguish them from others in this program young people in their 20s live with the masters of different areas and copy their lifestyles will the students be able to emulate their master,korean,300,2018,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
